,type,,
Hello!! How are you,1,,
Hey! Can I order food?,1,,
Hi,1,,
Hi! I want to order food,1,,
"Yo!! sona, I want to order food.",1,,
"Hi sona, take my order.",1,,
I want to order 2 phulka,2,,
2 Phulka with veg kadai,2,,
I want to order 3 plate chicken biryani,2,,
Order chicken biryani for me,2,,
I want jeera rice,2,,
Chiken fry with mineral water.,2,,
i want to eat 2 plate Chicken 65,2,,
Chilly gobi with egg bhurji and chilly egg,2,,
Please order mutton biryani with chilly fish,2,,
I want to try appollo fish,2,,
I think I should try golden baby corn,2,,
Let’s try Mutton curry with butter milk this time.,2,,
"I am very tired, order soft drink for me.",2,,
2 plate Baby corn chilly ,2,,
Order 3 lemon chicken this time,2,,
"It’s my first time, I want to try paneer biyani",2,,
chicken biryani with chicken boneless biryani,2,,
I want to eat palak paneer masala,2,,
"Dal fry, chicke curry, 4 soft drink",2,,
Butter milk with mutton curry,2,,
Order egg friend rice,2,,
Plain rice with chilly paneer,2,,
 10 Chapati with veg kadai and mushroom masala,2,,
Sona I want to eat 3 chicken 65 with 10 butter phulka,2,,
Sona order mutton biryani for me,2,,
bro I want to eat lollypop biryani with aloo dum ,2,,
"Sona ji, I want to eat tomato curry only.",2,,
Sona baby I want to eat mutton kheema,2,,
Yo!! order egg biryani for me.,2,,
bathroom is not Clean,3,,
Sona what is the special food of this hotel?,3,,
Any special food this hotel can offer me?,3,,
"Sona yr, please suggest me some special food.",3,,
Any special food?,3,,
"Sona ji, what are north indian foods in this hotel?",4,,
"Sona, What all cuisines this hotel serve?",4,,
"Sona, any north indian food, you can recommend me.",4,,
What are special chinese food?,4,,
"Any pastas, this hotel can offer?",4,,
I want to eat thai food. Show me list of thai food.,4,,
What are Turkish food in this hotel?,4,,
I want Vietnamese food.,4,,
any Moroccan food in this hotel?,4,,
Do this hotel offer Mexican food?,4,,
I think I should try American and British food today.,4,,
What are French food in this hotel,4,,
"I am feeling hungry, I want to eat Caribbean food.",4,,
"Sona, I want to eat Greek food.",4,,
What are Indian food in this hotel?,4,,
"Sona , I will reach hotel 5 hours before.",5,,
I will reach hotel 2 hours before.,5,,
I will reach hotel 1 day before,5,,
I will reach hotel 1 night before,5,,
